# Time-averaged data for fix f6
# TimeStep c_Mnmsd[1] c_Mnmsd[2] c_Mnmsd[3] c_Mnmsd[4]
43475 0.015474 0.0140653 0.0112381 0.0407774
43480 0.0155372 0.0143875 0.0112032 0.0411279
43485 0.0156486 0.0146175 0.0112032 0.0414693
43490 0.0157937 0.0147497 0.0112308 0.0417742
43495 0.015956 0.014785 0.0112743 0.0420154
43500 0.0161198 0.0147305 0.0113192 0.0421695
43505 0.0162722 0.0145978 0.0113495 0.0422195
43510 0.0164057 0.014402 0.0113517 0.0421593
43515 0.0165191 0.0141597 0.0113181 0.0419969
43520 0.0166184 0.013888 0.0112495 0.0417559
43525 0.0167146 0.0136023 0.0111564 0.0414733
43530 0.0168209 0.013316 0.0110582 0.0411951
43535 0.0169487 0.0130396 0.0109801 0.0409685
43540 0.0171043 0.0127808 0.0109495 0.0408347
43545 0.0172859 0.0125451 0.0109918 0.0408228
43550 0.0174831 0.0123358 0.0111267 0.0409456
43555 0.0176785 0.0121546 0.0113655 0.0411986
