# LAMMPS data file

6000 atoms
4 atom types

0.0 26.789730072 xlo xhi
0.0 46.5447616577 ylo yhi
0.0 49.9407077933 zlo zhi
0.0 -9.1225643158 0.0 xy xz yz

Masses

1   6.941  # Li
2 118.71   # Sn
3  15.9994 # O
4  58.6934 # Ni

Atoms  # charge

412 1 0.0 3.893972007 27.197035539 14.973212886
413 1 0.0 2.069459252 27.197035539 24.96135385
414 1 0.0 0.244946226 27.197035539 34.949496301
415 1 0.0 -1.579566528 27.197035539 44.937637265
416 1 0.0 5.718484897 36.505987316 4.985071179
417 1 0.0 3.893972007 36.505987316 14.973212886
418 1 0.0 2.069459252 36.505987316 24.96135385
419 1 0.0 0.244946226 36.505987316 34.949496301
420 1 0.0 -1.579566528 36.505987316 44.937637265
421 1 0.0 5.718484897 45.814939093 4.985071179
422 1 0.0 3.893972007 45.814939093 14.973212886
423 1 0.0 2.069459252 45.814939093 24.96135385
424 1 0.0 0.244946226 45.814939093 34.949496301
425 1 0.0 -1.579566528 45.814939093 44.937637265
426 1 0.0 11.076430991 8.579130599 4.985071179
427 1 0.0 9.251918101 8.579130599 14.973212886
428 1 0.0 7.427405346 8.579130599 24.96135385
429 1 0.0 5.60289232 8.579130599 34.949496301
430 1 0.0 3.778379566 8.579130599 44.937637265
431 1 0.0 11.076430991 17.888082375 4.985071179
432 1 0.0 9.251918101 17.888082375 14.973212886
433 1 0.0 7.427405346 17.888082375 24.96135385
434 1 0.0 5.60289232 17.888082375 34.949496301
435 1 0.0 3.778379566 17.888082375 44.937637265
436 1 0.0 11.076430991 27.197035539 4.985071179
437 1 0.0 9.251918101 27.197035539 14.973212886
438 1 0.0 7.427405346 27.197035539 24.96135385
439 1 0.0 5.60289232 27.197035539 34.949496301
440 1 0.0 3.778379566 27.197035539 44.937637265
441 1 0.0 11.076430991 36.505987316 4.985071179
442 1 0.0 9.251918101 36.505987316 14.973212886
443 1 0.0 7.427405346 36.505987316 24.96135385
444 1 0.0 5.60289232 36.505987316 34.949496301
445 1 0.0 3.778379566 36.505987316 44.937637265
446 1 0.0 11.076430991 45.814939093 4.985071179
447 1 0.0 9.251918101 45.814939093 14.973212886
448 1 0.0 7.427405346 45.814939093 24.96135385
449 1 0.0 5.60289232 45.814939093 34.949496301
450 1 0.0 3.778379566 45.814939093 44.937637265
