ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.3969359240097674e+00 1.4533293592401117e+02 0.0000000000000000e+00
-1.9408916347967953e-01 2.1784489163479449e+01 0.0000000000000000e+00
4.8660990128253090e-02 2.5711339009871438e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
3375 1 8.60367 10.4104 10.7559 -8.08011 2.12445 -1.81535 0.0520387 
4092 1 4.26374 18.8348 12.3596 -8.29928 -0.650184 1.8755 -1.36443 
2175 1 8.00542 13.4023 4.52102 -7.83258 0.440056 0.0644916 2.11016 
3615 1 8.55675 13.535 10.4237 -8.03669 -0.179952 -0.600997 -1.99256 
496 1 9.48677 9.90556 3.33983 -7.81654 1.35168 -0.272558 -1.66658 
2415 1 8.43759 17.6809 5.36373 -7.88585 2.63949 -0.00917505 1.04219 
3855 1 8.80724 17.348 10.6987 -8.73853 -0.412637 0.694073 0.856615 
2165 1 -1.09771 11.9173 10.7852 -7.27621 -0.0311466 -0.158873 0.148385 
2655 1 8.2531 20.6671 4.66661 -8.82835 -1.53977 1.54545 0.317307 
4095 1 8.15192 21.0327 9.98335 -7.62216 2.14014 -1.20162 -0.984935 
4 1 1.86929 2.44366 3.18361 -7.89323 -0.523682 1.55496 -0.546905 
1444 1 2.39075 2.56001 8.42916 -8.23087 -2.19457 -0.108215 -0.411018 
244 1 1.03216 5.20584 2.29527 -7.71625 3.4911 1.83953 -0.907748 
1684 1 0.922361 5.4132 7.37769 -7.84693 2.83959 0.199473 -0.701125 
484 1 1.92951 9.83252 3.06326 -8.78608 1.60966 -0.56279 0.535498 
1924 1 2.16101 9.72057 8.37193 -8.75373 0.817699 1.58476 -0.496687 
980 2 10.5254 16.9842 1.43437 -28.9836 1.75588 1.37601 -1.39729 
5783 1 9.97734 0.875959 0.229903 -8.21328 -0.468353 -0.675268 2.46277 
2424 1 10.5886 14.4726 8.388 -7.90724 -1.20732 1.18277 -0.46897 
740 2 10.5403 13.4654 1.61949 -28.7709 0.0334376 -1.07775 -0.830485 
2180 2 10.6031 13.417 6.76434 -28.0591 1.28248 2.00599 -2.47149 
3366 1 0.263951 8.53083 12.6825 -7.65897 1.3074 -4.18569 0.383871 
3140 2 10.4393 6.0453 11.6118 -29.0321 0.846174 1.11011 0.230539 
