# Time-averaged data for fix f2
# TimeStep c_Comsd[1] c_Comsd[2] c_Comsd[3] c_Comsd[4]
42770 0.0126282 0.0138447 0.0114874 0.0379604
42775 0.0129031 0.0128469 0.0113456 0.0370956
42780 0.0131871 0.0119829 0.0111551 0.0363251
42785 0.0134693 0.0112787 0.0109117 0.0356596
42790 0.0137304 0.0107405 0.0106224 0.0350933
42795 0.0139449 0.0103554 0.0103041 0.0346044
42800 0.0140894 0.0100963 0.00997949 0.0341652
42805 0.0141492 0.00993102 0.00967444 0.0337547
42810 0.0141232 0.0098275 0.0094123 0.0333629
42815 0.0140253 0.00975668 0.00920744 0.0329895
42820 0.013884 0.0096935 0.00906149 0.032639
42825 0.0137333 0.00961981 0.00896776 0.0323209
42830 0.0136069 0.00952622 0.0089131 0.0320462
42835 0.0135323 0.00941215 0.00888078 0.0318252
42840 0.0135238 0.00928445 0.00885447 0.0316627
42845 0.01358 0.0091555 0.00882217 0.0315576
42850 0.0136846 0.00904081 0.00877964 0.031505
42855 0.013805 0.00895262 0.00873504 0.0314927
42860 0.0138993 0.00889742 0.00870767 0.0315043
42865 0.0139247 0.00887645 0.00872273 0.0315239
42870 0.013846 0.00888596 0.00880439 0.0315364
42875 0.0136438 0.00892047 0.00896696 0.0315312
42880 0.0133196 0.00897492 0.00920957 0.0315041
42885 0.0128958 0.00904474 0.00951573 0.0314562
42890 0.0124134 0.00913013 0.00985888 0.0314024
42895 0.0119253 0.00923687 0.0102051 0.0313673
42900 0.0114865 0.00937347 0.0105171 0.031377
42905 0.0111423 0.00954706 0.0107604 0.0314498
42910 0.0109205 0.00976121 0.0109084 0.0315901
42915 0.0108285 0.0100152 0.010944 0.0317877
42920 0.0108517 0.0103048 0.0108641 0.0320207
42925 0.0109557 0.0106254 0.0106805 0.0322616
42930 0.011093 0.0109734 0.0104182 0.0324846
42935 0.0112119 0.0113471 0.0101113 0.0326703
42940 0.0112674 0.011745 0.00979974 0.0328122
42945 0.0112291 0.0121644 0.00952518 0.0329187
42950 0.0110863 0.0125988 0.0093259 0.0330111
42955 0.0108504 0.0130341 0.00923067 0.0331152
42960 0.0105458 0.0134494 0.00925754 0.0332528
42965 0.0102029 0.0138196 0.00940798 0.0334305
42970 0.00985376 0.0141176 0.0096693 0.0336406
42975 0.00952114 0.0143203 0.0100224 0.0338639
42980 0.00921924 0.0144093 0.0104413 0.0340699
42985 0.00895363 0.0143735 0.0109005 0.0342277
42990 0.00872244 0.014212 0.0113802 0.0343146
42995 0.00851853 0.0139358 0.0118645 0.0343188
43000 0.0083329 0.0135666 0.0123401 0.0342396
43005 0.00815774 0.013133 0.0127982 0.0340889
43010 0.0079896 0.0126665 0.0132336 0.0338897
43015 0.00783147 0.0121978 0.0136414 0.0336707
43020 0.00769159 0.0117553 0.014014 0.0334608
43025 0.00758324 0.0113639 0.0143379 0.0332851
43030 0.00752403 0.0110427 0.0145912 0.0331579
43035 0.00752829 0.0108032 0.0147468 0.0330783
43040 0.00760348 0.0106504 0.0147771 0.033031
43045 0.0077475 0.0105818 0.0146593 0.0329886
