# Time-averaged data for fix f4
# TimeStep c_Crmsd[1] c_Crmsd[2] c_Crmsd[3] c_Crmsd[4]
42695 0.00519808 0.0062817 0.00692359 0.0184034
42700 0.00518042 0.00624125 0.0066616 0.0180833
42705 0.00514672 0.00618856 0.00636969 0.017705
42710 0.00509715 0.00611964 0.0060603 0.0172771
42715 0.00503304 0.00603168 0.00574526 0.01681
42720 0.00495706 0.00592355 0.00543499 0.0163156
42725 0.0048733 0.00579593 0.00513816 0.0158074
42730 0.004787 0.00565134 0.00486145 0.0152998
42735 0.00470409 0.00549373 0.00460963 0.0148075
42740 0.00463054 0.00532808 0.00438575 0.0143444
42745 0.00457145 0.00515983 0.00419126 0.0139225
42750 0.00453038 0.00499433 0.00402646 0.0135512
42755 0.00450878 0.00483641 0.00389091 0.0132361
42760 0.00450581 0.00469003 0.00378367 0.0129795
42765 0.0045186 0.00455808 0.00370358 0.0127803
42770 0.00454281 0.00444232 0.00364922 0.0126343
42775 0.0045735 0.00434332 0.00361878 0.0125356
42780 0.004606 0.0042604 0.00360979 0.0124762
42785 0.00463657 0.00419181 0.00361881 0.0124472
42790 0.00466265 0.00413505 0.00364124 0.0124389
42795 0.00468292 0.00408739 0.00367149 0.0124418
42800 0.00469697 0.00404653 0.00370351 0.012447
42805 0.00470485 0.00401108 0.00373161 0.0124475
42810 0.00470651 0.00398088 0.00375138 0.0124388
42815 0.00470127 0.00395696 0.00376047 0.0124187
42820 0.00468748 0.00394135 0.00375895 0.0123878
42825 0.00466242 0.00393666 0.00374921 0.0123483
42830 0.00462249 0.00394565 0.00373534 0.0123035
42835 0.00456368 0.00397065 0.0037222 0.0122565
42840 0.00448234 0.00401308 0.00371426 0.0122097
42845 0.00437598 0.00407296 0.00371455 0.0121635
42850 0.00424414 0.0041486 0.00372378 0.0121165
42855 0.00408914 0.00423657 0.00374 0.0120657
42860 0.00391641 0.0043321 0.003759 0.0120075
42865 0.00373449 0.00442969 0.00377522 0.0119394
42870 0.00355444 0.00452391 0.00378301 0.0118614
42875 0.00338879 0.00461018 0.00377812 0.0117771
42880 0.00325026 0.00468546 0.00375912 0.0116948
42885 0.00315031 0.0047487 0.00372837 0.0116274
42890 0.00309796 0.00480111 0.0036923 0.0115914
42895 0.00309889 0.00484607 0.00366087 0.0116058
42900 0.00315502 0.00488875 0.00364623 0.01169
42905 0.00326443 0.00493541 0.00366089 0.0118607
42910 0.00342173 0.00499243 0.00371549 0.0121297
42915 0.00361851 0.0050652 0.00381676 0.0125005
42920 0.00384413 0.00515705 0.00396588 0.0129671
42925 0.00408647 0.00526846 0.0041579 0.0135128
42930 0.00433288 0.00539673 0.00438228 0.0141119
42935 0.0045711 0.00553618 0.00462464 0.0147319
42940 0.0047902 0.00567898 0.00486935 0.0153385
42945 0.00498131 0.00581628 0.00510222 0.0158998
42950 0.00513838 0.00593939 0.0053127 0.0163905
42955 0.00525855 0.0060409 0.00549514 0.0167946
42960 0.00534227 0.00611538 0.00564901 0.0171067
42965 0.00539323 0.00615994 0.00577826 0.0173314
42970 0.00541774 0.00617436 0.00589005 0.0174821
42975 0.00542393 0.00616105 0.00599291 0.0175779
42980 0.00542055 0.00612451 0.0060948 0.0176399
42985 0.0054157 0.0060707 0.00620131 0.0176877
42990 0.00541565 0.0060063 0.00631435 0.0177363
42995 0.00542412 0.00593799 0.00643162 0.0177937
43000 0.00544212 0.00587199 0.0065471 0.0178612
43005 0.00546827 0.00581388 0.00665219 0.0179343
43010 0.00549965 0.00576855 0.0067375 0.0180057
43015 0.0055327 0.00574037 0.00679485 0.0180679
43020 0.00556427 0.0057332 0.00681917 0.0181166
43025 0.00559243 0.00575034 0.00680983 0.0181526
43030 0.0056169 0.00579428 0.00677141 0.0181826
43035 0.00563919 0.00586632 0.00671369 0.0182192
43040 0.00566224 0.00596609 0.00665077 0.0182791
43045 0.00568976 0.00609111 0.00659939 0.0183803
43050 0.00572527 0.00623641 0.00657662 0.0185383
43055 0.00577112 0.00639452 0.00659721 0.0187628
43060 0.00582775 0.00655569 0.00667106 0.0190545
43065 0.00589328 0.00670866 0.00680123 0.0194032
43070 0.00596372 0.0068417 0.00698287 0.0197883
43075 0.00603363 0.00694401 0.00720338 0.020181
43080 0.00609712 0.00700701 0.00744383 0.020548
43085 0.00614901 0.00702555 0.00768149 0.0208561
43090 0.00618598 0.00699868 0.00789309 0.0210778
43095 0.00620732 0.00692986 0.00805817 0.0211953
43100 0.00621531 0.00682674 0.00816188 0.0212039
43105 0.00621502 0.00670031 0.00819683 0.0211122
43110 0.00621365 0.00656373 0.00816354 0.0209409
43115 0.00621939 0.0064308 0.00806959 0.0207198
43120 0.00624005 0.00631439 0.00792773 0.0204822
43125 0.00628166 0.00622486 0.00775344 0.02026
43130 0.0063473 0.00616883 0.00756238 0.0200785
43135 0.00643632 0.00614848 0.00736821 0.019953
43140 0.0065441 0.00616143 0.0071811 0.0198866
43145 0.00666243 0.00620134 0.00700702 0.0198708
43150 0.00678035 0.00625902 0.00684795 0.0198873
43155 0.00688557 0.00632388 0.00670269 0.0199121
43160 0.00696611 0.00638545 0.00656808 0.0199196
43165 0.00701194 0.00643485 0.00644034 0.0198871
43170 0.00701637 0.00646599 0.00631654 0.0197989
43175 0.00697696 0.00647624 0.00619555 0.0196487
43180 0.00689553 0.00646654 0.00607852 0.0194406
43185 0.00677765 0.00644073 0.0059687 0.0191871
43190 0.00663132 0.00640435 0.00587072 0.0189064
43195 0.00646555 0.00636318 0.0057895 0.0186182
43200 0.00628873 0.00632184 0.00572912 0.0183397
43205 0.0061074 0.00628282 0.00569175 0.018082
43210 0.0059254 0.00624626 0.00567705 0.0178487
43215 0.00574366 0.0062103 0.00568181 0.0176358
43220 0.00556065 0.0061721 0.00570011 0.0174329
43225 0.00537338 0.00612899 0.0057238 0.0172262
43230 0.0051786 0.00607948 0.00574324 0.0170013
43235 0.00497395 0.00602375 0.0057483 0.016746
43240 0.0047589 0.00596359 0.00572945 0.0164519
43245 0.00453516 0.00590178 0.00567885 0.0161158
